lat,lon,MaxWind,RMW,MIN_SLP,SHR_MAG,SHR_HDG,STM_SPD ,STM_HDG,SST,OHC,TPW,LAND,850TANG,850VORT,200DVRG,class
39.4,289,62,88,985,9,294,13,353,262,9999,49,197,143,-27,16,0
40.7,288.7,52,105,983,11,301,10,333,243,9999,48,68,138,-15,32,0
16.3,281,32,95,1003,5,90,10,293,285,9999,58,216,71,81,71,0
17.7,280.9,32,122,1006,9,36,12,300,290,9999,56,101,64,60,75,1
18.1,280,39,68,1005,8,37,12,326,281,9999,56,180,82,70,118,1
19.5,279.1,40,49,1003,13,56,12,317,288,9999,57,266,85,50,85,0
20.3,278.3,51,101,996,10,52,14,323,292,9999,56,195,114,45,105,0
21.6,277.3,69,33,985,13,42,14,317,290,9999,56,98,135,45,93,0
22.5,276.5,76,138,986,11,33,13,314,273,9999,56,-31,131,46,59,0
23.5,275.3,71,135,985,11,61,14,318,294,9999,56,123,136,23,23,1
24.4,274.3,75,116,983,9,75,13,321,295,9999,55,264,150,28,46,1
25.6,273.4,93,72,975,5,66,16,313,300,9999,57,425,157,31,69,1
26.6,272.5,97,134,966,5,72,15,311,298,9999,57,329,149,11,45,1
27.6,271.3,106,100,953,9,153,13,316,298,9999,57,177,166,-23,37,0
28.5,270.4,134,48,931,12,152,9,323,301,9999,59,73,193,-40,9,0
29.2,269.7,132,77,932,7,118,7,336,292,9999,58,3,193,-24,34,0
29.9,269.4,112,61,937,15,106,9,337,251,9999,59,-29,213,-26,51,0
31.5,269.3,39,150,993,18,105,11,360,255,9999,58,-135,147,-44,42,0
21.1,309.2,43,73,1006,40,124,11,355,277,9999,47,1580,61,2,-8,0
22.2,309.1,30,117,1008,32,123,5,360,277,9999,46,1603,50,-2,-15,0
22.6,309.1,27,86,1008,30,115,3,43,277,9999,48,1613,57,-9,0,0
22.8,309,29,100,1007,33,124,5,35,278,9999,45,1609,57,-15,-21,0
23.3,309.3,31,53,1007,32,128,7,353,277,9999,47,1654,49,-23,13,0
24.1,309.1,32,187,1007,21,141,5,340,279,9999,46,1663,42,-36,9,0
34.5,312.3,42,118,997,21,64,16,63,271,9999,43,1430,88,43,34,0
36,314.4,66,86,995,32,40,20,67,267,9999,39,1344,98,59,52,0
12.2,336.1,45,53,1002,12,234,22,286,276,9999,58,749,107,78,73,0
12.3,333.3,48,189,1003,4,244,15,270,285,9999,59,1032,137,94,0,0
12.4,331.6,55,179,994,2,78,16,277,279,9999,58,1207,145,90,1,0
12.5,329.9,62,92,991,4,147,16,274,275,9999,60,1384,156,78,60,0
12.9,328.6,67,120,985,8,130,19,270,275,9999,58,1514,176,66,48,0
13.3,326.6,72,137,983,6,119,15,270,272,9999,58,1722,196,68,48,0
13.5,324.9,70,154,983,4,121,18,273,270,9999,57,1901,204,48,72,0
13.9,323.4,73,171,984,7,74,16,281,268,9999,58,1904,209,52,66,0
14.4,321.8,79,133,979,8,57,16,284,268,9999,57,1833,212,59,16,0
14.6,320,83,72,978,5,48,14,286,270,9999,58,1702,238,87,40,1
14.8,318.5,87,169,978,6,0,15,294,271,9999,58,1606,252,82,89,0
15.2,317.3,95,175,963,4,333,16,293,268,9999,60,1559,237,81,115,0
16,316,99,148,964,4,53,16,293,268,9999,57,1540,225,74,72,0
16.5,314.8,113,165,958,3,334,14,296,270,9999,59,1508,233,73,50,0
17.1,313.5,110,115,955,5,17,12,306,269,9999,57,1495,231,67,28,0
17.7,312.5,106,123,958,7,10,12,306,269,9999,57,1508,221,59,-5,0
18.4,311.5,106,120,958,6,52,12,313,271,9999,54,1533,224,43,69,0
19.1,310.7,122,114,953,8,71,13,314,272,9999,54,1558,238,32,6,0
20.1,309.9,112,170,951,11,80,12,310,276,9999,53,1559,242,24,30,0
20.7,309,118,158,953,13,63,12,317,273,9999,52,1534,245,11,5,0
21.2,308,104,118,955,10,62,10,309,279,9999,51,1469,227,-2,1,0
21.8,307.3,110,94,956,12,73,10,309,282,9999,50,1412,231,-6,1,0
22.2,306.4,102,80,955,15,64,7,317,283,9999,52,1334,240,-15,-5,0
22.7,305.8,114,4,950,15,75,8,327,271,9999,52,1293,248,-9,-6,0
23.4,305.1,104,120,955,15,92,8,332,278,9999,51,1257,241,-12,-12,0
24,304.7,100,111,964,14,101,10,326,285,9999,51,1250,233,-7,33,0
